"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime","date"
"1","qhnveE6_7gY","2023-06-09T21:32:32Z","UCeY0bbntWzzVIaj2z3QigXg","Coverage of Trump classified documents indictment | NBC News","Watch live coverage as former President Trump has been indicted by a federal grand jury in connection with his alleged ...","https://i.ytimg.com/vi/qhnveE6_7gY/default.jpg","120","90","https://i.ytimg.com/vi/qhnveE6_7gY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qhnveE6_7gY/hqdefault.jpg","480","360","NBC News","none","2023-06-09T21:32:32Z",2023-06-09
"2","qhnveE6_7gY","2023-06-09T21:32:32Z","UCeY0bbntWzzVIaj2z3QigXg","Coverage of Trump classified documents indictment | NBC News","Watch live coverage as former President Trump has been indicted by a federal grand jury in connection with his alleged ...","https://i.ytimg.com/vi/qhnveE6_7gY/default.jpg","120","90","https://i.ytimg.com/vi/qhnveE6_7gY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qhnveE6_7gY/hqdefault.jpg","480","360","NBC News","none","2023-06-09T21:32:32Z",2023-06-09
"3","O0ZMGs1MYwc","2023-10-15T01:30:13Z","UCeY0bbntWzzVIaj2z3QigXg","U.S. leaders face new challenges amid Israel-Hamas war","As the impact of the Israel-Hamas war is felt across the world, the conflict is now presenting new challenges for United States ...","https://i.ytimg.com/vi/O0ZMGs1MYwc/default.jpg","120","90","https://i.ytimg.com/vi/O0ZMGs1MYwc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/O0ZMGs1MYwc/hqdefault.jpg","480","360","NBC News","none","2023-10-15T01:30:13Z",2023-10-15
"4","A0gA26NvaVI","2023-10-16T14:30:03Z","UCeY0bbntWzzVIaj2z3QigXg","Georgia man shocked by $1.4 million speeding ticket","Savannah city officials say the $1.4 million ticket Connor Cato received after being clocked at 90 mph was due to a software issue.","https://i.ytimg.com/vi/A0gA26NvaVI/default.jpg","120","90","https://i.ytimg.com/vi/A0gA26NvaVI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/A0gA26NvaVI/hqdefault.jpg","480","360","NBC News","none","2023-10-16T14:30:03Z",2023-10-16
"5","i44UdZPO10g","2023-10-16T00:30:17Z","UCeY0bbntWzzVIaj2z3QigXg","Rockets, mines among deadly arsenal recovered after Hamas attack on Israel","Weapons that were recovered following Hamas' deadly attack on Israel are now being analyzed at an Israeli military base.","https://i.ytimg.com/vi/i44UdZPO10g/default.jpg","120","90","https://i.ytimg.com/vi/i44UdZPO10g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/i44UdZPO10g/hqdefault.jpg","480","360","NBC News","none","2023-10-16T00:30:17Z",2023-10-16
"6","4eUYKH9a1rM","2023-10-17T03:20:49Z","UCeY0bbntWzzVIaj2z3QigXg","Nightly News Full Broadcast - Oct. 16","Lester Holt anchors from Israel with details of Hamas releasing its first video of a hostage being held inside Gaza and our team ...","https://i.ytimg.com/vi/4eUYKH9a1rM/default.jpg","120","90","https://i.ytimg.com/vi/4eUYKH9a1rM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4eUYKH9a1rM/hqdefault.jpg","480","360","NBC News","none","2023-10-17T03:20:49Z",2023-10-17
"7","Rc4ZrR2mYSY","2023-10-17T04:00:19Z","UCeY0bbntWzzVIaj2z3QigXg","Sister of killed Israeli festivalgoer speaks out on &#39;very difficult&#39; aftermath","Adar Eylon reflects on the memory left behind by her sister, Shira, who was killed at the Israeli music festival during the Hamas ...","https://i.ytimg.com/vi/Rc4ZrR2mYSY/default.jpg","120","90","https://i.ytimg.com/vi/Rc4ZrR2mYSY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Rc4ZrR2mYSY/hqdefault.jpg","480","360","NBC News","none","2023-10-17T04:00:19Z",2023-10-17
"8","IDKZcmztF98","2023-10-17T03:17:25Z","UCeY0bbntWzzVIaj2z3QigXg","Top Story with Tom Llamas - Oct. 16 | NBC News NOW","Hamas says it is willing to release non-Israeli hostages, the Israeli military prepares for the next phase of war, and a shooting in ...","https://i.ytimg.com/vi/IDKZcmztF98/default.jpg","120","90","https://i.ytimg.com/vi/IDKZcmztF98/mqdefault.jpg","320","180","https://i.ytimg.com/vi/IDKZcmztF98/hqdefault.jpg","480","360","NBC News","none","2023-10-17T03:17:25Z",2023-10-17
"9","rDIlPfp5C4Q","2023-10-17T13:11:06Z","UCeY0bbntWzzVIaj2z3QigXg","This Morning’s Top Headlines – Oct. 17","President Joe Biden will travel to Israel to show support for the U.S. ally amid the war with Hamas, the Israeli military appears to be ...","https://i.ytimg.com/vi/rDIlPfp5C4Q/default.jpg","120","90","https://i.ytimg.com/vi/rDIlPfp5C4Q/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rDIlPfp5C4Q/hqdefault.jpg","480","360","NBC News","none","2023-10-17T13:11:06Z",2023-10-17
"10","AHRCUbTJ8nk","2023-10-18T17:30:01Z","UCeY0bbntWzzVIaj2z3QigXg","&#39;We got justice for Natalee&#39;: Beth Holloway reacts to confession from her daughter&#39;s killer","Beth Holloway says she feels ""victorious"" after obtaining Joran van der Sloot's confession to her daughter's killing as part of a plea ...","https://i.ytimg.com/vi/AHRCUbTJ8nk/default.jpg","120","90","https://i.ytimg.com/vi/AHRCUbTJ8nk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/AHRCUbTJ8nk/hqdefault.jpg","480","360","NBC News","none","2023-10-18T17:30:01Z",2023-10-18
