"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime"
"1","C2kHqawTrdY","2023-10-19T16:04:44Z","UCeY0bbntWzzVIaj2z3QigXg","Video shows Palestinian artist playing with children a day before he was killed in Gaza","A Palestinian artist is shown playing with children in #Gaza to raise their spirits less than a day before he was killed in a hospital ...","https://i.ytimg.com/vi/C2kHqawTrdY/default.jpg","120","90","https://i.ytimg.com/vi/C2kHqawTrdY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/C2kHqawTrdY/hqdefault.jpg","480","360","NBC News","none","2023-10-19T16:04:44Z"
"2","ktAc39_WaTI","2023-10-19T21:15:02Z","UCeY0bbntWzzVIaj2z3QigXg","Clashes erupt in the West Bank","Richard Engel reports on clashes in #Ramallah in the #WestBank, one of many across the #MiddleEast. » Subscribe to NBC ...","https://i.ytimg.com/vi/ktAc39_WaTI/default.jpg","120","90","https://i.ytimg.com/vi/ktAc39_WaTI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ktAc39_WaTI/hqdefault.jpg","480","360","NBC News","none","2023-10-19T21:15:02Z"
"3","zwfU2_Gyy94","2022-04-06T03:30:11Z","UCeY0bbntWzzVIaj2z3QigXg","El Salvador Arrests 6,000 Gang Members In 10 Days","El Salvador has continued its crackdown on what officials are calling a war on gangs as the government has arrested 6000 gang ...","https://i.ytimg.com/vi/zwfU2_Gyy94/default.jpg","120","90","https://i.ytimg.com/vi/zwfU2_Gyy94/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zwfU2_Gyy94/hqdefault.jpg","480","360","NBC News","none","2022-04-06T03:30:11Z"
"4","A0gA26NvaVI","2023-10-16T14:30:03Z","UCeY0bbntWzzVIaj2z3QigXg","Georgia man shocked by $1.4 million speeding ticket","Savannah city officials say the $1.4 million ticket Connor Cato received after being clocked at 90 mph was due to a software issue.","https://i.ytimg.com/vi/A0gA26NvaVI/default.jpg","120","90","https://i.ytimg.com/vi/A0gA26NvaVI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/A0gA26NvaVI/hqdefault.jpg","480","360","NBC News","none","2023-10-16T14:30:03Z"
"5","C0Rv16KCtX0","2023-10-20T03:30:03Z","UCeY0bbntWzzVIaj2z3QigXg","Interim House Speaker McHenry threatens to quit as voting stalls","According to reports, interim House Speaker Patrick McHenry threatened to resign after Republicans pushed him to bring ...","https://i.ytimg.com/vi/C0Rv16KCtX0/default.jpg","120","90","https://i.ytimg.com/vi/C0Rv16KCtX0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/C0Rv16KCtX0/hqdefault.jpg","480","360","NBC News","none","2023-10-20T03:30:03Z"
"6","bbEQrYNx09U","2023-10-19T21:00:20Z","UCeY0bbntWzzVIaj2z3QigXg","Pentagon: U.S. warship shot down drones and missiles fired from Yemen","Pentagon Press Secretary Brig. Gen. Pat Ryder, confirmed the USS Carney shot down more than a dozen drones as well as three ...","https://i.ytimg.com/vi/bbEQrYNx09U/default.jpg","120","90","https://i.ytimg.com/vi/bbEQrYNx09U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/bbEQrYNx09U/hqdefault.jpg","480","360","NBC News","none","2023-10-19T21:00:20Z"
"7","n-m8uDKqyZ4","2023-10-20T02:26:17Z","UCeY0bbntWzzVIaj2z3QigXg","Nightly News Full Broadcast - Oct. 19","Lester Holt anchors from inside Israel as new signs emerge that an Israeli ground operation could come soon and the ...","https://i.ytimg.com/vi/n-m8uDKqyZ4/default.jpg","120","90","https://i.ytimg.com/vi/n-m8uDKqyZ4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/n-m8uDKqyZ4/hqdefault.jpg","480","360","NBC News","none","2023-10-20T02:26:17Z"
"8","YgbZkfbbWY8","2023-10-19T02:00:11Z","UCeY0bbntWzzVIaj2z3QigXg","Nightly News Full Broadcast - Oct. 18","Lester Holt anchors from Israel with coverage of President Biden's meeting with Prime Minister Netanyahu and more details on the ...","https://i.ytimg.com/vi/YgbZkfbbWY8/default.jpg","120","90","https://i.ytimg.com/vi/YgbZkfbbWY8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YgbZkfbbWY8/hqdefault.jpg","480","360","NBC News","none","2023-10-19T02:00:11Z"
"9","EdP1YqVWAsU","2022-06-29T13:45:00Z","UCeY0bbntWzzVIaj2z3QigXg","Virginia Father Dies By Suicide After Child Dies In Hot Car","Chesterfield police say a distraught father shot himself after discovering he'd left his 18-month old son in his car while at work.","https://i.ytimg.com/vi/EdP1YqVWAsU/default.jpg","120","90","https://i.ytimg.com/vi/EdP1YqVWAsU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EdP1YqVWAsU/hqdefault.jpg","480","360","NBC News","none","2022-06-29T13:45:00Z"
"10","H2OnBRWsLp8","2022-07-19T00:30:08Z","UCeY0bbntWzzVIaj2z3QigXg","22-Year-Old Hailed A Hero After Killing A Gunman In Indiana Mall","Authorities are hailing a 22-year-old civilian as a hero after he killed a gunman. The good Samaritan, identified as Elisjsha Dicken, ...","https://i.ytimg.com/vi/H2OnBRWsLp8/default.jpg","120","90","https://i.ytimg.com/vi/H2OnBRWsLp8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/H2OnBRWsLp8/hqdefault.jpg","480","360","NBC News","none","2022-07-19T00:30:08Z"
